hora,Tension de Linea L1,Corriente L1,Potencia Activa L1,Potencia Reactiva L1,Factor de Potencia L1,Tension de Linea L2,Corriente L2,Potencia Activa L2,Potencia Reactiva L2,Factor de Potencia L2,Tension de Linea L3,Corriente L3,Potencia Activa L3,Potencia Reactiva L3,Factor de Potencia L3,Potencia Activa III,Potencia Inductiva III,Potencia Capacitiva III,Coseno Fi,Tension entre Lineas L1 y L2,Tension entre Lineas L2 y L3,Tension entre Lineas L3 y L1,Potencia Aparente III,Demanda Maxima,Corriente de las Tres Fases,Corriente de Neutro,Demanda Maxima A2,Demanda Maxima A3,Energia Activa,Energia Reactiva Inductiva,Energia Reactiva Capacitiva
Wed Sep 25 00:31:56 2019,7742.358620689656,4633.862068965517,32761.41379310345,4294954451.172414,42949672.039999984,7709.006896551726,6069.103448275862,42275.96551724138,4294948821.793103,42949672.05586204,7634.937931034483,5352.206896551724,32740.96551724138,4294944206.793103,42949672.15517241,107822.96551724138,0.0,54466.48275862069,42949672.072068974,13409.172413793101,13236.703448275863,13302.24827586207,113275.3448275862,0.0,5352.137931034483,0.0,0.0,0.0,492159018.7586207,434169959.0,881470488.0344827
Wed Sep 25 00:32:54 2019,7751.0142857142855,4629.214285714285,32710.64285714286,4294954301.214286,42949672.04357141,7717.585714285715,6079.285714285715,42664.46428571428,4294949446.75,42949672.04749998,7645.842857142857,5441.785714285715,33548.21428571428,4294944056.428571,42949672.150357135,108909.17857142857,0.0,54087.28571428572,42949672.063571416,13422.385714285718,13254.98571428571,13321.628571428571,115544.75,0.0,5386.714285714285,0.0,0.0,0.0,492160828.25,434169959.0,881471392.0
Wed Sep 25 00:33:55 2019,7742.06896551724,4657.448275862069,32943.0,4294954451.2413793,42949672.04241378,7709.503448275861,6113.586206896552,43036.58620689655,4294949743.62069,42949672.04448274,7636.055172413793,5477.793103448276,33943.31034482759,4294944169.034483,42949672.14517242,109851.03448275862,0.0,53510.48275862069,42949672.06034479,13406.110344827584,13238.15172413793,13302.786206896551,115401.41379310345,0.0,5416.827586206897,0.0,0.0,0.0,492162647.44827586,434169959.0,881472284.862069
Wed Sep 25 00:34:54 2019,7740.471428571428,4661.142857142857,32980.357142857145,4294954425.392857,42949672.04214283,7709.614285714287,6111.428571428572,43054.82142857143,4294949805.0,42949672.04357141,7632.942857142856,5482.714285714285,33977.392857142855,4294944219.571429,42949672.144999996,110033.92857142857,0.0,53484.07142857143,42949672.059999965,13408.67142857143,13236.214285714284,13299.042857142858,115381.57142857143,0.0,5421.0,0.0,0.0,0.0,492164479.0,434169959.0,881473175.1785715
Wed Sep 25 00:35:55 2019,7745.834482758621,4684.137931034483,33110.89655172414,4294954317.551724,42949672.04103447,7715.089655172413,6107.172413793103,43005.793103448275,4294949709.3103447,42949672.04448274,7638.910344827588,5486.689655172414,33998.137931034486,4294944155.275862,42949672.14586207,110180.03448275862,0.0,53668.137931034486,42949672.06275862,13417.862068965518,13247.54482758621,13308.95172413793,115472.72413793103,0.0,5428.137931034483,0.0,0.0,0.0,492166311.2413793,434169959.0,881474064.4137931
Wed Sep 25 00:36:56 2019,7746.16551724138,4535.793103448276,31928.724137931036,4294954368.827586,42949672.04758619,7715.296551724138,6104.068965517241,42988.65517241379,4294949723.034483,42949672.04551722,7638.910344827586,5486.275862068966,33491.1724137931,4294943432.586207,42949672.157586195,108411.93103448275,0.0,54384.0,42949672.068620704,13417.737931034484,13246.717241379312,13309.158620689659,115471.79310344828,0.0,5376.482758620689,0.0,0.0,0.0,492168161.7241379,434169959.0,881474980.6206896
Wed Sep 25 00:37:55 2019,7753.9285714285725,4489.928571428572,31394.14285714286,4294954031.321429,42949672.052142836,7723.028571428571,6028.714285714285,42256.357142857145,4294949397.035714,42949672.05035712,7650.0857142857185,5429.571428571428,33033.67857142857,4294943513.535714,42949672.163214274,106716.25,0.0,54974.42857142857,42949672.07142859,13431.514285714284,13265.400000000003,13327.371428571432,113681.39285714286,0.0,5315.5,0.0,0.0,0.0,492169945.21428573,434169959.0,881475890.5357143
Wed Sep 25 00:38:56 2019,7754.524137931033,4501.241379310345,31616.96551724138,4294954300.413793,42949672.04862067,7721.131034482757,6015.724137931034,42125.24137931035,4294949452.3448277,42949672.05172411,7650.289655172412,5383.862068965517,32860.793103448275,4294943871.034483,42949672.15965517,106620.10344827586,0.0,54301.96551724138,42949672.07137933,13428.413793103453,13262.689655172411,13328.772413793105,113997.31034482758,0.0,5298.758620689655,0.0,0.0,0.0,492171714.86206895,434169959.0,881476798.6206896
Wed Sep 25 00:39:54 2019,7750.285714285715,4492.071428571428,31560.821428571428,4294954375.714286,42949672.04535712,7719.428571428573,6003.428571428572,42004.57142857143,4294949432.428571,42949672.0535714,7646.314285714286,5370.0,32778.142857142855,4294943953.464286,42949672.161428556,106361.28571428571,0.0,54115.75,42949672.07142859,13425.171428571432,13260.300000000001,13317.55714285714,112241.78571428571,0.0,5290.928571428572,0.0,0.0,0.0,492173488.4285714,434169959.0,881477698.7857143
Wed Sep 25 00:40:55 2019,7752.620689655171,4548.413793103448,31826.0,4294953861.793103,42949672.053103425,7722.124137931035,6003.931034482759,41919.68965517241,4294949171.2413793,42949672.05344825,7646.4000000000015,5395.862068965517,33011.58620689655,4294943949.7586207,42949672.1575862,106784.62068965517,0.0,54915.34482758621,42949672.07137933,13428.248275862068,13260.16551724138,13321.365517241378,111841.68965517242,0.0,5315.379310344828,0.0,0.0,0.0,492175258.17241377,434169959.0,881478604.862069
Wed Sep 25 00:41:54 2019,7755.728571428571,4560.857142857143,31923.10714285714,4294953772.392857,42949672.05392855,7723.714285714285,5986.071428571428,41695.71428571428,4294949017.25,42949672.05535711,7650.214285714284,5386.928571428572,32906.0,4294943918.0,42949672.15964284,106524.60714285714,0.0,55159.0,42949672.07178573,13433.7,13264.500000000004,13328.485714285716,112026.5,0.0,5314.214285714285,0.0,0.0,0.0,492177035.89285713,434169959.0,881479523.4285715
